0.250 0.200 0.000 0.400 1.000 1.000 1.000 0.000
0.750 0.600 1.000 0.000 0.000 0.000 1.000 0.029
0.750 0.400 1.000 0.000 0.400 0.000 1.000 0.057
0.500 0.400 1.000 0.000 0.000 1.000 1.000 0.086
0.000 0.200 0.000 1.000 1.000 1.000 1.000 0.114
0.750 0.600 0.000 0.000 0.400 0.000 1.000 0.143
0.500 0.200 1.000 0.400 0.000 1.000 1.000 0.171
0.750 0.800 0.000 0.000 0.000 0.000 1.000 0.200
0.250 0.400 0.000 0.000 1.000 1.000 1.000 0.229
0.750 0.200 0.000 0.400 0.400 0.400 1.000 0.257
0.500 0.200 1.000 0.000 0.400 1.000 1.000 0.286
0.750 0.600 0.000 0.400 0.000 0.000 1.000 0.314
0.250 0.000 1.000 0.400 1.000 1.000 1.000 0.343
0.250 0.200 1.000 0.000 1.000 1.000 1.000 0.371
0.500 0.000 1.000 0.400 0.400 1.000 1.000 0.400
0.750 0.400 0.000 0.400 0.400 0.000 1.000 0.429
0.750 0.400 1.000 0.400 0.000 0.400 1.000 0.457
0.500 0.400 0.000 0.400 0.000 1.000 1.000 0.486
0.500 0.600 0.000 0.000 0.000 1.000 1.000 0.514
0.000 0.000 1.000 1.000 1.000 1.000 1.000 0.543
0.500 0.400 0.000 0.000 0.400 1.000 1.000 0.571
0.750 0.600 0.000 0.000 0.000 0.400 1.000 0.600
0.500 0.200 0.000 0.400 0.400 1.000 1.000 0.629
0.750 0.400 1.000 0.000 0.000 0.400 1.000 0.657
0.750 0.200 1.000 0.000 0.400 0.400 1.000 0.686
0.750 0.400 1.000 0.400 0.000 0.000 1.000 0.714
1.000 0.200 0.000 0.400 0.400 0.400 0.400 0.743
1.000 0.400 0.000 0.000 0.400 0.400 0.400 0.771
1.000 0.600 0.000 0.000 0.000 0.400 0.400 0.800
1.000 0.800 0.000 0.000 0.000 0.000 0.400 0.829
1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.857
1.000 0.800 1.000 0.000 0.000 0.000 0.000 0.886
1.000 0.600 1.000 0.400 0.000 0.000 0.000 0.914
1.000 0.400 1.000 0.400 0.400 0.000 0.000 0.943
1.000 0.200 1.000 0.400 0.400 0.400 0.000 0.971
1.000 0.000 1.000 0.400 0.400 0.400 0.400 1.000
