-0.436 0.473 0.101 -0.759 
-0.444 -0.078 -0.875 0.175 
0.057 0.773 -0.564 0.286 
-0.172 0.609 -0.054 -0.772 
0.378 -0.111 0.46 -0.796 
-0.973 -0.226 0.027 -0.039 
0.657 0.196 -0.282 -0.671 
0.087 0.448 0.888 -0.063 
-0.799 0.017 0.208 0.563 
0.65 0.484 -0.584 0.046 
0.116 0.027 0.848 0.516 
-0.6 -0.62 0.395 0.315 
0.514 0.758 0.212 0.341 
0.195 0.038 -0.64 -0.743 
0.669 -0.636 -0.357 0.143 
0.31 0.224 0.871 0.309 
0.427 0.791 -0.438 0.013 
-0.282 0.064 -0.607 0.74 
-0.445 0.157 0.763 0.441 
-0.01 -0.956 0.16 -0.246 
-0.513 0.388 -0.757 0.12 
0.274 -0.682 -0.484 -0.475 
-0.356 -0.555 -0.691 0.297 
0.565 0.086 0.448 0.687 
0.818 -0.222 0.157 0.506 
0.42 0.449 0.391 0.685 
0.277 -0.345 0.3 0.845 
-0.37 -0.168 -0.584 -0.703 
0.008 -0.425 -0.014 0.905 
0.188 0.476 -0.854 -0.093 
0.031 0.838 0.545 -0.006 
0.882 0.225 0.407 0.078 
-0.237 -0.278 0.128 0.922 
0.842 0.042 0.537 0.022 
0.718 0.191 -0.664 0.09 
0.519 0.812 0.253 -0.083 
-0.883 -0.235 -0.126 -0.387 
0.285 -0.365 -0.004 0.886 
-0.196 0.099 0.808 0.547 
-0.294 -0.153 0.942 -0.047 
0.504 -0.252 0.793 0.233 
0.67 -0.619 -0.298 -0.281 
0.378 0.004 -0.29 -0.879 
-0.897 0.04 0.439 0.03 
-0.679 -0.504 -0.518 -0.134 
0.006 -0.968 0.004 0.251 
-0.423 0.692 -0.38 -0.445 
-0.376 0.306 0.387 -0.784 
0.945 0.271 -0.179 -0.044 
0.356 -0.37 0.832 -0.211 
0.378 0.069 -0.529 0.757 
-0.193 -0.495 -0.826 0.191 
0.489 -0.273 0.821 -0.113 
-0.281 -0.656 0.504 -0.486 
0.36 -0.672 -0.598 0.247 
0.832 0.207 -0.042 -0.512 
0.185 -0.445 -0.556 0.677 
-0.143 0.561 -0.815 0.029 
-0.345 -0.174 0.792 -0.474 
-0.031 -0.482 0.706 -0.517 
0.881 -0.261 0.333 0.21 
0.276 -0.443 0.853 -0.026 
0.351 -0.66 -0.662 -0.045 
0.134 -0.102 0.857 -0.486 
-0.586 -0.035 -0.63 -0.508 
0.463 0.746 0.133 -0.461 
-0.683 0.374 0.333 0.531 
0.51 0.531 0.196 0.647 
-0.213 -0.481 0.79 0.314 
-0.618 -0.424 -0.657 -0.082 
0.666 0.217 -0.332 -0.633 
0.15 -0.445 0.543 0.696 
0.421 0.379 -0.697 -0.439 
-0.402 -0.097 0.906 -0.093 
-0.233 -0.309 -0.894 0.224 
-0.292 -0.075 0.824 0.48 
0.083 -0.832 0.407 0.368 
-0.605 -0.639 -0.145 -0.453 
0.287 0.201 -0.198 -0.916 
-0.603 -0.307 -0.47 0.567 
-0.439 -0.85 -0.1 0.273 
0.647 0.674 0.35 0.072 
0.462 0.18 -0.567 -0.657 
-0.193 0.542 0.189 -0.796 
-0.143 -0.213 -0.177 -0.95 
-0.134 0.269 0.807 -0.508 
0.107 0.071 0.588 0.798 
0.757 0.174 -0.559 0.289 
-0.385 0.154 0.496 0.763 
0.631 0.734 0.057 0.245 
0.727 0.025 0.658 0.197 
0.167 0.757 -0.204 -0.597 
0.797 0.494 0.348 0.032 
-0.453 0.183 -0.86 0.149 
-0.651 -0.324 -0.238 0.644 
-0.528 -0.517 -0.629 -0.242 
0.53 -0.675 -0.197 -0.475 
0.021 -0.103 0.819 -0.564 
-0.751 -0.601 0.151 -0.229 
-0.269 -0.375 0.792 -0.4 
-0.361 -0.102 0.765 0.523 
-0.612 -0.579 -0.391 0.37 
-0.228 0.085 0.186 -0.952 
-0.538 0.022 -0.287 0.793 
-0.143 0.297 -0.468 -0.82 
0.006 0.233 0.22 -0.947 
-0.428 -0.746 -0.124 -0.495 
-0.137 -0.436 -0.682 -0.571 
0.091 -0.825 0.51 0.224 
0.462 0.297 -0.393 -0.738 
0.555 0.56 0.012 0.615 
0.339 0.7 -0.48 -0.406 
-0.067 0.448 0.466 -0.76 
-0.412 0.57 -0.223 -0.675 
-0.454 0.683 -0.552 -0.15 
-0.666 0.331 -0.642 -0.185 
-0.247 -0.145 0.731 0.62 
-0.263 0.114 0.134 0.949 
0.432 -0.096 -0.826 0.348 
0.518 -0.67 -0.516 0.133 
-0.734 -0.577 0.189 -0.305 
-0.576 0.231 -0.196 0.759 
0.595 -0.751 -0.141 0.247 
0.787 0.3 -0.124 0.525 
0.433 0.803 -0.01 -0.408 
0.91 -0.009 0.408 -0.068 
0.009 -0.723 -0.022 -0.691 
-0.598 -0.516 -0.023 -0.613 
-0.075 0.542 0.756 0.359 
-0.563 -0.571 -0.473 0.365 
0.068 -0.299 0.213 0.927 
-0.786 -0.27 0.137 0.539 
-0.522 -0.49 -0.558 0.419 
0.749 0.503 -0.354 0.245 
0.533 -0.54 0.342 0.554 
0.345 0 -0.845 -0.409 
0.452 0.529 -0.029 0.717 
-0.322 0.423 -0.245 0.81 
0.165 0.062 0.059 -0.983 
0.362 0.57 -0.328 0.661 
-0.2 0.314 0.923 0.1 
0.169 -0.062 0.964 -0.196 
-0.696 0.577 -0.172 0.39 
0.652 0.517 0.171 0.528 
-0.236 -0.153 0.944 -0.173 
-0.734 0.644 0.213 0.046 
-0.677 0.421 0.534 -0.282 
-0.548 0.277 -0.78 -0.121 
-0.39 0.456 -0.791 0.117 
0.156 -0.188 0.568 -0.786 
0.204 0.928 -0.213 0.226 
-0.72 0.262 0.455 -0.453 
-0.379 0.756 -0.518 -0.124 
-0.299 0.255 0.838 -0.379 
0.869 -0.056 0.491 -0.021 
-0.249 -0.727 -0.519 0.375 
-0.36 0.022 0.603 0.711 
0.747 0.309 0.453 -0.375 
0.855 -0.285 -0.104 -0.42 
0.933 0.09 0.253 -0.238 
0.293 -0.709 -0.038 0.64 
0.264 -0.175 -0.919 0.235 
-0.738 -0.505 0.235 0.382 
0.346 0.476 0.684 -0.431 
-0.464 0.73 -0.053 -0.499 
0.317 0.908 0.053 -0.268 
-0.52 0.706 0.418 0.239 
0.729 -0.352 0.431 -0.399 
-0.894 0.272 0.155 0.32 
0.904 -0.149 -0.238 0.321 
0.178 -0.863 -0.468 0.064 
-0.485 -0.479 0.039 -0.731 
-0.15 0.135 -0.949 -0.244 
0.658 0.414 0.627 -0.053 
